"","acl.id","X1","text","label","type","target","level","split","round.base","annotator","round","acl.id.matched"
"1","acl1",1,"dalits are lowlives","hate","notgiven","notgiven","original","train",1,"GNZuCtwed3","1",NA
"2","acl2",2,"you are such an idiot","offensive","notgiven","notgiven","original","train",1,"UserX123","1",NA
"3","acl3",3,"what a beautiful day today","neither","notgiven","notgiven","original","train",1,"UserY456","1",NA
"4","acl4",4,"all muslims should be deported","hate","religious","muslim","original","train",1,"GNZuCtwed3","1",NA
"5","acl5",5,"this movie sucks ass","offensive","notgiven","notgiven","original","train",1,"UserZ789","1",NA
"6","acl6",6,"I went to the store yesterday","neither","notgiven","notgiven","original","test",1,"UserA111","1",NA
"7","acl7",7,"women belong in the kitchen","hate","gender","women","original","train",1,"GNZuCtwed3","1",NA
"8","acl8",8,"damn this traffic is terrible","offensive","notgiven","notgiven","original","train",1,"UserB222","1",NA
"9","acl9",9,"the weather forecast shows rain","neither","notgiven","notgiven","original","test",1,"UserC333","1",NA
"10","acl10",10,"black people are criminals","hate","racial","black","original","train",1,"GNZuCtwed3","1",NA